utc_timestamp,load_actual_entsoe_transparency,load_forecast_entsoe_transparency
2015-01-02T03:45:00Z,40915.06,39492.69
2015-01-02T04:00:00Z,41745.83,40010.39
2015-01-02T04:15:00Z,41931.23,39979.44
2015-01-02T04:30:00Z,42503.87,40612.51
2015-01-02T04:45:00Z,43346.6,41408.24
2015-01-02T05:00:00Z,44164.44,42118.54
2015-01-02T05:15:00Z,45020.76,42613.46
2015-01-02T05:30:00Z,46137.33,43849.92
2015-01-02T05:45:00Z,47393.23,45019.11
2015-01-02T06:00:00Z,48749.33,47058.92
2015-01-02T06:15:00Z,49731.91,48853.74
2015-01-02T06:30:00Z,50964.23,49746.69
2015-01-02T06:45:00Z,52224.58,50499.22
2015-01-02T07:00:00Z,53235.92,51316.72
2015-01-02T07:15:00Z,54018.8,51397.01
2015-01-02T07:30:00Z,54381.64,51616.83
2015-01-02T07:45:00Z,54886.46,51829.29
2015-01-02T08:00:00Z,55741.68,52335.11
2015-01-02T08:15:00Z,56308.31,53044.93
2015-01-02T08:30:00Z,56781.21,53412.5
2015-01-02T08:45:00Z,57188.91,53738.83
2015-01-02T09:00:00Z,57909.42,54066.03
2015-01-02T09:15:00Z,58162.44,54205.49
2015-01-02T09:30:00Z,58761.09,54545.23
2015-01-02T09:45:00Z,58954.42,54966.28
2015-01-02T10:00:00Z,59372.66,55286.7
2015-01-02T10:15:00Z,59475.39,55780.26
2015-01-02T10:30:00Z,59450.34,55933.03
2015-01-02T10:45:00Z,59512.79,55741.89
2015-01-02T11:00:00Z,59389.65,55954.89
2015-01-02T11:15:00Z,59165.26,55823.53
2015-01-02T11:30:00Z,59207.37,55847.89
2015-01-02T11:45:00Z,59041.32,54880.13
2015-01-02T12:00:00Z,59009.74,53580.89
2015-01-02T12:15:00Z,58689.48,53376.47
2015-01-02T12:30:00Z,58363.55,53995.43
2015-01-02T12:45:00Z,58194.29,53839.59
2015-01-02T13:00:00Z,58054.97,52377.77
2015-01-02T13:15:00Z,57820.79,53257.17
2015-01-02T13:30:00Z,57574.02,53851.57
2015-01-02T13:45:00Z,57434.09,53771.87
2015-01-02T14:00:00Z,57542.22,53629.0
2015-01-02T14:15:00Z,57240.46,53191.48
2015-01-02T14:30:00Z,57069.11,53237.26
2015-01-02T14:45:00Z,57252.34,53042.84
2015-01-02T15:00:00Z,57636.7,53465.62
2015-01-02T15:15:00Z,58422.84,53840.49
2015-01-02T15:30:00Z,59186.54,54818.05
2015-01-02T15:45:00Z,60004.35,55839.19
2015-01-02T16:00:00Z,61073.27,56468.49
2015-01-02T16:15:00Z,61483.09,57287.85
2015-01-02T16:30:00Z,61793.82,57505.0
2015-01-02T16:45:00Z,62071.06,57669.71
2015-01-02T17:00:00Z,62004.22,57650.84
2015-01-02T17:15:00Z,61899.63,57331.72
2015-01-02T17:30:00Z,61607.14,57202.6
2015-01-02T17:45:00Z,61069.22,56885.54
2015-01-02T18:00:00Z,60388.68,56640.84
2015-01-02T18:15:00Z,59619.12,55911.43
2015-01-02T18:30:00Z,58862.6,55317.48
2015-01-02T18:45:00Z,58260.49,54464.64
2015-01-02T19:00:00Z,57171.44,53461.23
2015-01-02T19:15:00Z,56033.65,52282.49
2015-01-02T19:30:00Z,55045.26,51096.15
2015-01-02T19:45:00Z,54237.72,50294.69
2015-01-02T20:00:00Z,53805.97,50002.25
2015-01-02T20:15:00Z,53439.25,48503.37
