date,hour_of_the_week0,hour_of_the_week1,hour_of_the_day0,hour_of_the_day1,week_of_the_year0,week_of_the_year1,is_christmas_time,is_workday_context,is_holiday_context,is_previous_day_workday,is_next_day_workday,OT
2014-12-31 23:00:00+00:00,-0.8660254037844359,0.5000000000000047,-2.4492935982947064e-16,1.0,0.1182731709213658,0.9929810960135169,False,True,False,True,False,
2015-01-01 00:00:00+00:00,-2.9391523179536475e-15,1.0,0.0,1.0,0.1182731709213658,0.9929810960135169,False,False,True,True,True,
2015-01-01 01:00:00+00:00,0.866025403784433,0.5000000000000098,0.2697967711570243,0.9629172873477994,0.1182731709213658,0.9929810960135169,False,False,True,True,True,5197.23
2015-01-01 02:00:00+00:00,0.8660254037844414,-0.49999999999999534,0.5195839500354336,0.8544194045464886,0.1182731709213658,0.9929810960135169,False,False,True,True,True,4945.91
2015-01-01 03:00:00+00:00,-4.91096680932118e-16,-1.0,0.730835964278124,0.6825531432186541,0.1182731709213658,0.9929810960135169,False,False,True,True,True,4843.57
2015-01-01 04:00:00+00:00,-0.8660254037844347,-0.5000000000000068,0.8878852184023752,0.4600650377311522,0.1182731709213658,0.9929810960135169,False,False,True,True,True,4818.56
2015-01-01 05:00:00+00:00,-0.8660254037844396,0.4999999999999983,0.9790840876823229,0.20345601305263375,0.1182731709213658,0.9929810960135169,False,False,True,True,True,4479.28
2015-01-01 06:00:00+00:00,-1.028950903538412e-14,1.0,0.9976687691905392,-0.06824241336467088,0.1182731709213658,0.9929810960135169,False,False,True,True,True,4452.84
2015-01-01 07:00:00+00:00,0.8660254037844365,0.5000000000000038,0.9422609221188205,-0.33487961217098616,0.1182731709213658,0.9929810960135169,False,False,True,True,True,4313.03
2015-01-01 08:00:00+00:00,0.8660254037844379,-0.5000000000000012,0.8169698930104421,-0.5766803221148671,0.1182731709213658,0.9929810960135169,False,False,True,True,True,4488.57
2015-01-01 09:00:00+00:00,6.859260036498355e-15,-1.0,0.631087944326053,-0.7757112907044197,0.1182731709213658,0.9929810960135169,False,False,True,True,True,4840.39
2015-01-01 10:00:00+00:00,-0.866025403784431,-0.5000000000000131,0.3984010898462414,-0.917211301505453,0.1182731709213658,0.9929810960135169,False,False,True,True,True,4985.62
2015-01-01 11:00:00+00:00,-0.8660254037844362,0.5000000000000042,0.1361666490962471,-0.9906859460363306,0.1182731709213658,0.9929810960135169,False,False,True,True,True,5352.2
2015-01-01 12:00:00+00:00,-3.429011037612589e-15,1.0,-0.1361666490962464,-0.9906859460363308,0.1182731709213658,0.9929810960135169,False,False,True,True,True,5345.57
2015-01-01 13:00:00+00:00,0.8660254037844398,0.4999999999999979,-0.39840108984624156,-0.9172113015054529,0.1182731709213658,0.9929810960135169,False,False,True,True,True,5242.11
2015-01-01 14:00:00+00:00,0.8660254037844416,-0.4999999999999949,-0.6310879443260528,-0.7757112907044198,0.1182731709213658,0.9929810960135169,False,False,True,True,True,5234.17
2015-01-01 15:00:00+00:00,1.4209616753928827e-14,-1.0,-0.816969893010442,-0.5766803221148672,0.1182731709213658,0.9929810960135169,False,False,True,True,True,5304.48
2015-01-01 16:00:00+00:00,-0.8660254037844345,-0.5000000000000072,-0.9422609221188204,-0.3348796121709864,0.1182731709213658,0.9929810960135169,False,False,True,True,True,5891.71
2015-01-01 17:00:00+00:00,-0.8660254037844398,0.4999999999999979,-0.9976687691905393,-0.06824241336467046,0.1182731709213658,0.9929810960135169,False,False,True,True,True,6180.35
2015-01-01 18:00:00+00:00,3.4314869601589423e-15,1.0,-0.979084087682323,0.2034560130526333,0.1182731709213658,0.9929810960135169,False,False,True,True,True,6128.26
2015-01-01 19:00:00+00:00,0.8660254037844362,0.5000000000000042,-0.8878852184023756,0.4600650377311516,0.1182731709213658,0.9929810960135169,False,False,True,True,True,5922.28
2015-01-01 20:00:00+00:00,0.8660254037844453,-0.49999999999998856,-0.730835964278124,0.6825531432186541,0.1182731709213658,0.9929810960135169,False,False,True,True,True,5793.78
2015-01-01 21:00:00+00:00,7.349118756157295e-15,-1.0,-0.5195839500354336,0.8544194045464886,0.1182731709213658,0.9929810960135169,False,False,True,True,True,5974.93
2015-01-01 22:00:00+00:00,-0.8660254037844379,-0.5000000000000012,-0.2697967711570252,0.962917287347799,0.1182731709213658,0.9929810960135169,False,False,True,True,True,5786.38
